29255,MR.,KYLE,WASHINGTON,4/11/1955,S,M,kyle8@adventure-works.com,"$80,000 ",3,Partial College,Professional,N
29256,MR.,NOAH,HARRIS,11/7/1955,M,M,noah55@adventure-works.com,"$90,000 ",2,High School,Professional,N
29257,MR.,JEREMIAH,RUSSELL,10/26/1955,S,M,jeremiah35@adventure-works.com,"$90,000 ",2,High School,Professional,Y
29258,MRS.,MAKAYLA,JAMES,9/22/1955,M,F,makayla8@adventure-works.com,"$90,000 ",2,High School,Professional,Y
29259,MR.,JONATHAN,DAVIS,9/10/1954,S,M,jonathan55@adventure-works.com,"$70,000 ",2,Partial High School,Skilled Manual,Y
29260,MR.,RICKY,CARLSON,5/27/1935,S,M,ricky19@adventure-works.com,"$70,000 ",4,Graduate Degree,Management,N
29261,MR.,ROBERT,TURNER,3/15/1935,S,M,robert48@adventure-works.com,"$130,000 ",2,Graduate Degree,Management,N
29262,MRS.,CASSIE,RAJE,2/22/1936,S,F,cassie12@adventure-works.com,"$50,000 ",2,Graduate Degree,Management,N
29263,MR.,NATHAN,LI,5/24/1936,M,M,nathan23@adventure-works.com,"$70,000 ",4,Graduate Degree,Management,N
29264,MRS.,RILEY,BROOKS,1/27/1936,M,F,riley21@adventure-works.com,"$90,000 ",4,Bachelors,Management,N
29265,MRS.,MARISSA,DIAZ,11/8/1936,S,F,marissa17@adventure-works.com,"$90,000 ",4,Bachelors,Management,N
29266,MR.,LUCAS,ANDERSON,7/5/1960,S,M,lucas23@adventure-works.com,"$80,000 ",5,Partial College,Professional,N
29267,MRS.,JORDAN,PEREZ,10/19/1960,M,F,jordan40@adventure-works.com,"$80,000 ",5,Partial College,Professional,Y
29268,MR.,MARCUS,THOMAS,5/22/1960,M,M,marcus11@adventure-works.com,"$90,000 ",4,High School,Professional,Y
29269,MRS.,VANESSA,GRIFFIN,5/14/1960,M,F,vanessa21@adventure-works.com,"$90,000 ",4,High School,Professional,Y
29270,MR.,CARLOS,ALLEN,1/12/1960,M,M,carlos45@adventure-works.com,"$100,000 ",0,Partial College,Professional,Y
29271,MR.,ANTONIO,HENDERSON,6/25/1960,S,M,antonio5@adventure-works.com,"$100,000 ",0,Partial College,Professional,N
29272,MR.,ALEX,KING,1/14/1960,M,M,alex48@adventure-works.com,"$100,000 ",0,Partial College,Professional,Y
29273,MR.,TIMOTHY,LOPEZ,2/12/1960,M,M,timothy38@adventure-works.com,"$100,000 ",0,Partial College,Professional,Y
29274,MR.,MIGUEL,GREEN,7/22/1960,S,M,miguel31@adventure-works.com,"$120,000 ",5,High School,Professional,Y
29275,MRS.,TAYLOR,THOMAS,5/15/1953,S,F,taylor58@adventure-works.com,"$70,000 ",3,Graduate Degree,Management,N
29276,MRS.,SYDNEY,FLORES,8/22/1953,M,F,sydney34@adventure-works.com,"$70,000 ",3,Graduate Degree,Management,Y
29277,MRS.,SAMANTHA,MOHAMED,4/27/1953,S,F,samantha9@adventure-works.com,"$70,000 ",3,Graduate Degree,Management,N
29278,MRS.,JANET,SCOTT,8/18/1953,S,F,janet33@adventure-works.com,"$70,000 ",3,Graduate Degree,Management,Y
29279,MRS.,HAILEY,TURNER,7/21/1953,S,F,hailey47@adventure-works.com,"$70,000 ",3,Graduate Degree,Management,Y
29280,MRS.,ERIN,COOK,2/9/1951,S,F,erin25@adventure-works.com,"$40,000 ",3,Partial College,Professional,N
29281,MR.,CHARLES,ANDERSON,2/26/1950,S,M,charles13@adventure-works.com,"$40,000 ",4,Partial College,Professional,N
29282,MRS.,TAYLOR,JACKSON,9/13/1949,M,F,taylor59@adventure-works.com,"$30,000 ",4,High School,Professional,Y
29283,MR.,JEFF,SMITH,7/10/1949,M,M,jeff4@adventure-works.com,"$30,000 ",4,High School,Professional,N
29284,MRS.,RILEY,HUGHES,12/4/1949,S,F,riley9@adventure-works.com,"$30,000 ",4,High School,Professional,N
29285,MR.,THOMAS,ADAMS,1/14/1949,S,M,thomas51@adventure-works.com,"$40,000 ",4,High School,Professional,N
29286,MR.,RODNEY,ALVAREZ,5/20/1964,S,M,rodney0@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N
29287,MRS.,SUZANNE,LIN,2/25/1964,M,F,suzanne9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
29288,MR.,GLENN,LIN,10/18/1964,M,M,glenn8@adventure-works.com,"$60,000 ",4,Bachelors,Professional,N
29289,MR.,DEVON,RAJE,8/27/1964,S,M,devon11@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
29290,MR.,TROY,GARCIA,10/15/1963,S,M,troy16@adventure-works.com,"$60,000 ",5,Bachelors,Professional,N
29291,MRS.,NANCY,SUBRAM,10/23/1963,M,F,nancy16@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N
29292,MRS.,DIANA,DOMINGUEZ,1/7/1967,S,F,diana12@adventure-works.com,"$90,000 ",2,Bachelors,Professional,N
29293,MR.,NUAN,WU,6/2/1967,S,M,nuan1@adventure-works.com,"$90,000 ",3,Bachelors,Professional,Y
29294,MRS.,ALLISON,COOPER,6/17/1961,S,F,allison17@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,N
29295,MR.,GLENN,LI,2/25/1966,S,M,glenn4@adventure-works.com,"$110,000 ",0,Graduate Degree,Management,Y
29296,MS.,NICHOLE,LUO,11/20/1966,S,F,nichole5@adventure-works.com,"$110,000 ",0,Graduate Degree,Management,N
29297,MRS.,NINA,PAL,10/22/1960,S,F,nina12@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,N
29298,MRS.,DIANA,MORENO,7/1/1960,S,F,diana5@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
29299,MRS.,BETHANY,KUMAR,10/18/1960,M,F,bethany11@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
29300,MR.,JOE,MADAN,10/27/1965,S,M,joe10@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
29301,MR.,ALVIN,NATH,11/7/1965,M,M,alvin39@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y
29302,MS.,CAROLYN,FERNANDEZ,1/19/1964,S,F,carolyn15@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
29303,MR.,ARTURO,PAL,7/22/1964,S,M,arturo37@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
29304,MR.,WILLIE,WANG,9/2/1959,M,M,willie2@adventure-works.com,"$100,000 ",5,Bachelors,Professional,Y
29305,MRS.,BETH,ALVAREZ,5/13/1959,S,F,beth7@adventure-works.com,"$100,000 ",5,Bachelors,Professional,N
29306,MR.,RAFAEL,ANAND,8/16/1963,S,M,rafael46@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
29307,MR.,ROSS,MALHOTRA,3/5/1963,S,M,ross4@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
29308,MR.,PHILLIP,VANCE,7/13/1963,S,M,phillip4@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
29309,MR.,RODNEY,NAVARRO,4/1/1963,S,M,rodney6@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
29310,MR.,ARMANDO,GUTIERREZ,10/23/1963,S,M,armando11@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
29311,MRS.,MARIE,CARLSON,5/10/1962,S,F,marie42@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
29312,MRS.,COLLEEN,SHE,4/18/1962,S,F,colleen24@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y
29313,MR.,JÉSUS,SANZ,10/8/1961,M,M,jésus19@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
